中文字詞,英文字詞,出現頻率
食品添加物,food additives,50
中央主管機關,central competent authority,47
食品安全衛生管理法,Act Governing Food Safety and Sanitation,29
有效日期,expiry date,27
食品業者,food business operators,25
食品,foods,21
食品器具,food utensils,19
食品,food,18
包裝,packaging,18
查驗機關,inspection authority,18
食品用洗潔劑,food cleansers,16
原材料,raw material,16
報驗義務人,Obligatory Inspection Applicant,16
食品及其相關產品,foods and relevant products,15
加工,processing,14
原材料,raw materials,14
半成品,semi-finished products,14
追溯追蹤系統,traceability system,14
成品,finished products,12
品名,product name,12
食品安全管制系統,food safety control system,11
回收,recall,10
食品容器或包裝,food containers or packaging,10
食品安全,food safety,9
主管機關,competent authority,9
輸入產品,imported products,9
秤量器,Weighing scale,9
動物產品,Animal Products,9
淨重,net weight,8
原料,raw materials,7
容量,volume,7
原產地,country of origin,7
產品,products,7
認證,accreditation,7
製造、加工、調配業者,"Food businesses that engage in the manufacture, processing, preparation",7
品質管制,quality control,7
實驗室,laboratory,7
檢驗機構,testing institution,7
貯存,storage,6
食品業者,Food business operators,6
食品容器,food containers,6
基因改造食品原料,genetically modified food raw materials,6
檢驗設備,Inspection equipment,6
逐批查驗,batch-by-batch inspection,6
責任廠商,Responsible Enterprise,6
運送,transportation,5
製造,manufacturing,5
數量,quantity,5
食品添加物,food additive,5
安全措施,safety measures,5
生產設備,Production equipment,5
微生物檢驗設備,Microbiological testing equipment,5
食品製造工廠,food manufacturing factory,5
食品技師,food technologist,5
農藥殘留,pesticide residues,5
衛生標準,Sanitation Standards,5
同產地,same origin,5
檢驗範圍,test scope,5
製造,manufacture,4
食品業者,Food businesses,4
銷毀,destroy,4
輸入,import,4
風險評估,risk assessment,4
食品中毒,food poisoning,4
產品責任保險,product liability insurance,4
製造日期,manufacturing date,4
食品衛生安全事件,food sanitation and safety incidents,4
官方衛生證明,official sanitary certificate,4
庫存,inventory,4
包裝室,packaging room,4
食品工廠,food factories,4
pH測定器,pH meter,4
試紙,litmus paper,4
溫度計,Thermometer,4
餘氯測定器,Residual chlorine analyzer,4
均質機,Homogenizer,4
金屬或其他異物檢出設備,Metal or foreign matter detector,4
獸醫師,veterinarian,4
殘留農藥,Pesticide Residue,4
毒素,toxins,4
系統性查核,systematic inspection,4
實地查核,on-site inspection,4
查核機關,inspection authority,4
報告簽署人,report signatory,4
檢驗報告,test report,4
容器,containers,4
交叉汙染,cross-contamination,4
食品業者,food businesses,3
危害分析,hazard analysis,3
管制界限,critical limits,3
監測計畫,monitoring plan,3
加工助劑,processing aids,3
查驗,inspection,3
衛生福利部,Ministry of Health and Welfare,3
抽樣檢驗,sampling and analysis,3
衛生安全管理系統,sanitation and safety management systems,3
加工,processed,3
輸出,export,3
容器或外包裝,container or external packaging,3
可追溯之來源,traceability sources,3
生產系統,production systems,3
輸入許可,import permit,3
製造,manufacturer,3
銷貨退回,sales returned,3
定溫保溫箱,Constant temperature incubator,3
餘氯測定器或試紙,Residual chlorine analyzer or litmus paper,3
pH測定器或試紙,pH meter or litmus paper,3
不鏽鋼,stainless steel,3
冷卻設備,Cooling equipment,3
顯微鏡,Microscope,3
乳脂肪分離機,Milk fat separator,3
過氧化價,peroxide value,3
乾燥箱,Oven,3
食品添加物工廠,food additive factories,3
食品加工科,food processing,3
禽畜產加工食品業,Meat processing,3
乳品加工食品業,Dairy products processing,3
微生物,microorganisms,3
毒素,Toxins,3
嬰兒配方食品,infant formula,3
較大嬰兒配方輔助食品,follow-up infant formula,3
特殊醫療用途嬰兒配方食品,infant formula for special medical purposes,3
規格,specifications,3
標示,labeling,3
成分,ingredients,3
產地,origin,3
加強抽批查驗,reinforced randomly-selected batch inspection,3
一般抽批查驗,regular randomly-selected batch inspection,3
監視查驗,monitoring inspection,3
科學證據,scientific evidence,3
抽樣,sampling,3
保證金,guarantee deposit,3
餘存樣品,remaining samples,3
消毒,disinfection,3
食品衛生安全管理體系,food safety management system,3
輸出國（地）,exporting country (territory),3
檢驗方法,testing method,3
檢驗機構,testing institutions,3
批號,batch number,3
樣品資訊,sample information,3
檢驗結果,testing results,3
產品回收銷毀計畫,recall and destruction plan,3
回收及銷毀,recall and destruction,3
下游廠商,downstream counterparties,3
食品添加物使用範圍及限量暨規格標準,"Standards for Specification, Scope, Application and Limitation of Food Additives",3
製造廠商,manufacturer,3
保存期限,shelf life,3
真空包裝即食食品,Vacuum-packaged ready-to-eat food,3
原材料,Raw materials,3
食品物流業,Food Logistics Industry,3
飲用水水質標準,Drinking Water Quality Standards,3
重要管制點,critical control points,2
矯正措施,corrective actions,2
品質管製人員,quality assurance personnel,2
食品業者,food business,2
生物性、化學性及物理性危害,"biological, chemical and physical hazards",2
驗效,validation,2
管制小組,HACCP team,2
特殊營養食品,special dietary foods,2
販賣,sale,2
食品原料,raw materials,2
食品衛生安全,food sanitation and safety,2
營養,nutrition,2
殘留,residues,2
原料來源,source of raw materials,2
食品安全監測計畫,food safety monitoring plans,2
驗證,certification,2
追溯或追蹤系統,traceability system,2
製造,manufactured,2
調配,prepared,2
販賣,sold,2
輸入,imported,2
輸出,exported,2
衛生管理人員,sanitation control personnel,2
許可文件,permit document,2
追溯,traceability,2
農產品,agricultural products,2
中央農業主管機關,central agricultural competent authority,2
食品添加物原料,food additive raw materials,2
外包裝,external packaging,2
國內負責廠商,responsible domestic company,2
原產國,country of origin,2
輸入食品,imported foods,2
產品成分報告,product ingredients report,2
查核,Verification,2
販賣,sales,2
標示,labels,2
追溯或追蹤系統,tracing or tracking system,2
輸入查驗,import inspection,2
販賣,selling,2
食品衛生安全事件,food sanitation and safety incident,2
追溯追蹤,Traceability,2
製造、加工、調配業者,"manufacture, processing, preparation",2
不良,inferior,2
輸入業者,import,2
輸出業者,exporter,2
罐頭食品,canned food,2
衛生,hygiene,2
檢驗設備,inspection equipment,2
糖度計,Glucose meter,2
蜜餞,candied fruits,2
秤量器,weighing scale,2
鹽度計,Salinity meter,2
破碎機,Crusher,2
榨汁機,Juicer,2
過濾設備,Filtering equipment,2
充填設備,Filling equipment,2
乳品工廠,dairy product factories,2
生乳取樣器,Raw milk sampler,2
酸度滴定裝置,Acidic titration device,2
生乳比重計,Raw milk densometer,2
水分測定用乾燥器,Dryer for detecting moisture,2
餘氧測定器,Residual oxygen analyzer,2
藥物殘留檢驗設備,Drug residue testing instruments,2
濃縮乳,Concentrated milk,2
牛乳幫浦,Milk pump,2
酸酵乳製造,Fermentation milk production plants,2
菌種管制設備,Bacteria culture control equipment,2
篩粉機,Screening machine,2
人造奶油,Margarine,2
原油煉製廠,Crude soybean oil refineries,2
脂肪抹醬,fat spread,2
烤酥油,shortening,2
融點,melting point,2
凍點,freezing point,2
大腸桿菌,E. coli,2
碘價,iodine value,2
水活性,water activity,2
殺菁機,Blanching machine,2
磨粉機,Powder grinding machine,2
包裝設備,Packaging equipment,2
去皮器具,Peeling equipment,2
除芯器具,Decoring equipment,2
餐盒食品工廠,lunch box food factories,2
基本設施,Basic facilities,2
粗脂肪測定設備,Crude fat determination equipment,2
油脂性質檢驗設備,Oil nature inspection equipment,2
水份,moisture content,2
總極性化合物,total polar compounds,2
基本原料,basic raw materials,2
發酵工廠,fermentation plant,2
麩酸工廠,glutamine acid plant,2
精製工廠,refining plant,2
微生物培養室,Microbial culture room,2
麩酸測定器,Glutamic acid analyzer,2
自動化學分析儀,automatic chemical analyzer,2
總氮測定裝置,Total nitrogen detection equipment,2
