中文字詞,英文字詞,出現頻率,負責單位
食品安全衛生管理法,Act Governing Food Safety and Sanitation,305,2科)、APHIA、BAPHIQ、TFDA、The、三區管中心、三區管理中心、北區管理中心、漁業署、監管組、研檢組、衛生福利部食品藥物管理署、防檢署、食品組、食品組2科、食品藥物管理署、食藥署、食藥署(三區管中心)、食藥署(監管組)、食藥署(食品組)、食藥署(食品組1科、食藥署(食品組1科)、食藥署(食品組6科)
食藥署,TFDA,236,BAPHIQ、BAPHIQ及TFDA、TFDA、三區管中心、三區管理中心、中區管理中心、北區管理中心、品質監督管理組、標準局、漁業署、監管組、研檢組、防檢局、防檢署、食品組、食品組5科、食藥署、食藥署(三區管中心)、食藥署(中區管理中心)、食藥署(北區管中心)、食藥署(北區管理中心)、食藥署(監管組)、食藥署(食品組)、食藥署(食品組1科)、食藥署食品組
TFDA,TFDA,140,TFDA、三區管中心、食品組
食品業者,food businesses,126,2科)、三區管中心、漁業署、食品組、食藥署、食藥署(食品組)、食藥署(食品組1科、食藥署食品組
食安法,Act Governing Food Safety and Sanitation,121,TFDA、三區管中心、三區管理中心、漁業署、監管組、防檢局、食藥署、食藥署(食品組)、食藥署(食品組1科)
中央主管機關,central competent authority,102,TFDA、三區管理中心、漁業署、研檢組、衛生福利部食品藥物管理署、食品組、食品組2科、食品藥物管理署、食藥署、食藥署(食品組)
歐盟,EU,100,BAPHIQ、中區管理中心、標檢局、衛生福利部食品藥物管理署、防檢署、食藥署
食品添加物,food additives,99,三區管中心、三區管理中心、北區管理中心、漁業署、防檢局、防檢署、食藥署、食藥署(北區管理中心)、食藥署(監管組)、食藥署(食品組)、食藥署(食品組1科)、食藥署(食品組6科)
主管機關,competent authority,71,TFDA、三區管中心、三區管理中心、漁業署、防檢署、食品組5科、食藥署(北區管理中心)、食藥署(食品組)
食品藥物管理署,TFDA,63,TFDA、北區管理中心、漁業署、研檢組、防檢署、食品藥物管理署、食藥署(北區管理中心)、食藥署(食品組1科)、食藥署(食品組6科)
食品器具,food utensils,62,三區管中心、三區管理中心、北區管理中心、漁業署、防檢局、防檢署、食藥署、食藥署(北區管理中心)、食藥署(監管組)、食藥署(食品組)
食品良好衛生規範準則,Regulations on Good Hygiene Practice for Food,56,TFDA、衛生福利部食品藥物管理署、食品藥物管理署
食品用洗潔劑,food cleansers,54,三區管中心、三區管理中心、漁業署、防檢局、防檢署、食藥署、食藥署(監管組)、食藥署(食品組)
食品容器或包裝,food containers or packaging,53,三區管中心、三區管理中心、漁業署、防檢署、食藥署、食藥署(監管組)、食藥署(食品組)
